State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,0,1
MH,Pune,Kothrud - Bavdhan ,5,0,0
MH,Pune,Sinhagad Road ,16,0,0
MH,Pune,Warje - Karvenagar ,11,1,1
MH,Pune,Shivajinagar - Ghole Road,243,1,4
MH,Pune,Kasaba - Vishrambaugwada,172,3,6
MH,Pune,Dhankawadi - Sahakarnagar ,124,0,2
MH,Pune,Bhawani Peth ,433,17,15
MH,Pune,Bibwewadi ,76,5,2
MH,Pune,Dhole Patil Road ,322,8,3
MH,Pune,Yerwada - Kalas - Dhanori ,217,3,3
MH,Pune,Nagar Road - Wadgaon Sheri,57,2,0
MH,Pune,Wanawadi - Ramtekdi ,104,8,6
MH,Pune,Kondhwa - Yewalerwadi ,33,3,1
MH,Pune,Hadapsar - Mundhawa,58,2,5
MH,Pune,Outside Pune ,70,2,2
