State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,5,0,1
MH,Pune,Kothrud - Bavdhan ,4,0,0
MH,Pune,Sinhagad Road ,15,0,0
MH,Pune,Warje - Karvenagar ,15,0,1
MH,Pune,Shivajinagar - Ghole Road,326,0,4
MH,Pune,Kasaba - Vishrambaugwada,319,0,6
MH,Pune,Dhankawadi - Sahakarnagar ,135,0,2
MH,Pune,Bhawani Peth ,511,0,15
MH,Pune,Bibwewadi ,145,0,2
MH,Pune,Dhole Patil Road ,409,0,3
MH,Pune,Yerwada - Kalas - Dhanori ,294,0,3
MH,Pune,Nagar Road - Wadgaon Sheri,65,0,0
MH,Pune,Wanawadi - Ramtekdi ,132,0,6
MH,Pune,Kondhwa - Yewalerwadi ,34,0,1
MH,Pune,Hadapsar - Mundhawa,64,0,5
MH,Pune,Outside Pune ,109,0,2
